Slot Id,Time slot,Imbalance price,DA price,Wind,Biomass,Fossil Gas,Fossil Hard Coal,Fossil Oil,Solar,Waste
52,01.06.2025 12:45 - 01.06.2025 13:00,-8.26,-5.48,452,10.22,103.24,97.11,18.96,1358.07,92.45
53,01.06.2025 13:00 - 01.06.2025 13:15,-13.27,-7.16,436,9.99,99.61,95.71,18.69,1409.09,92.13
54,01.06.2025 13:15 - 01.06.2025 13:30,-7.16,-7.16,417,9.99,99.61,95.71,18.69,1409.09,92.13
55,01.06.2025 13:30 - 01.06.2025 13:45,-7.16,-7.16,393,9.99,99.61,95.71,18.69,1409.09,92.13
56,01.06.2025 13:45 - 01.06.2025 14:00,-11.14,-7.16,374,9.99,99.61,95.71,18.69,1409.09,92.13
57,01.06.2025 14:00 - 01.06.2025 14:15,-24.14,-7.27,365,10.06,101.16,90.63,17.75,1288.96,85.75
58,01.06.2025 14:15 - 01.06.2025 14:30,-28.16,-7.27,356,10.06,101.16,90.63,17.75,1288.96,85.75
59,01.06.2025 14:30 - 01.06.2025 14:45,-737.55,-7.27,351,10.06,101.16,90.63,17.75,1288.96,85.75
60,01.06.2025 14:45 - 01.06.2025 15:00,-737.55,-7.27,348,10.06,101.16,90.63,17.75,1288.96,85.75
61,01.06.2025 15:00 - 01.06.2025 15:15,-20.12,-3.85,356,10.22,100.96,97.37,19.07,1045.41,105.58
62,01.06.2025 15:15 - 01.06.2025 15:30,-16.09,-3.85,357,10.22,100.96,97.37,19.07,1045.41,105.58
63,01.06.2025 15:30 - 01.06.2025 15:45,-4.15,-3.85,359,10.22,100.96,97.37,19.07,1045.41,105.58
64,01.06.2025 15:45 - 01.06.2025 16:00,-3.85,-3.85,363,10.22,100.96,97.37,19.07,1045.41,105.58
65,01.06.2025 16:00 - 01.06.2025 16:15,-32.76,-1.56,373,10.79,99.73,102.98,22.99,837.81,111.24
66,01.06.2025 16:15 - 01.06.2025 16:30,-39.79,-1.56,370,10.79,99.73,102.98,22.99,837.81,111.24
67,01.06.2025 16:30 - 01.06.2025 16:45,440.69,-1.56,367,10.79,99.73,102.98,22.99,837.81,111.24
68,01.06.2025 16:45 - 01.06.2025 17:00,765.04,-1.56,371,10.79,99.73,102.98,22.99,837.81,111.24
69,01.06.2025 17:00 - 01.06.2025 17:15,1248.46,3.96,395,15.14,104.36,108.15,21.43,833.27,108.76
70,01.06.2025 17:15 - 01.06.2025 17:30,101.79,3.96,420,15.14,104.36,108.15,21.43,833.27,108.76
71,01.06.2025 17:30 - 01.06.2025 17:45,265.45,3.96,447,15.14,104.36,108.15,21.43,833.27,108.76
72,01.06.2025 17:45 - 01.06.2025 18:00,107.06,3.96,471,15.14,104.36,108.15,21.43,833.27,108.76
73,01.06.2025 18:00 - 01.06.2025 18:15,91.07,19.13,485,25.48,141.79,143.25,30.55,747.74,114.21
74,01.06.2025 18:15 - 01.06.2025 18:30,201.1,19.13,493,25.48,141.79,143.25,30.55,747.74,114.21
75,01.06.2025 18:30 - 01.06.2025 18:45,103.31,19.13,500,25.48,141.79,143.25,30.55,747.74,114.21
76,01.06.2025 18:45 - 01.06.2025 19:00,350,19.13,517,25.48,141.79,143.25,30.55,747.74,114.21
77,01.06.2025 19:00 - 01.06.2025 19:15,2.09,60.67,538,31.48,139.92,143.81,28.46,564.05,113.57
78,01.06.2025 19:15 - 01.06.2025 19:30,6.84,60.67,565,31.48,139.92,143.81,28.46,564.05,113.57
